logit,lb_crown,ub_crown,width_crown,nominal,sample_min,sample_max,sample_within_crown?
0,-4.3814297,6.0516334,10.4330635,0.8959547,0.78422755,1.0305997,True
1,-7.0370564,2.5004559,9.537512,-1.8624941,-2.006626,-1.7453159,True
2,-5.1541786,4.7422266,9.896405,-0.23560177,-0.3738721,-0.13720189,True
3,-2.3543622,9.361423,11.715785,2.8738184,2.7381558,3.0529633,True
4,-10.969643,-1.374219,9.595424,-5.9731913,-6.106514,-5.8536882,True
5,-11.304055,1.237907,12.541963,-6.2236776,-6.3578186,-6.049777,True
6,-13.780384,-3.2885242,10.491859,-9.5984335,-9.723297,-9.459945,True
7,6.7384224,19.495361,12.756939,15.452704,15.281995,15.603148,True
8,-5.249111,4.9337473,10.182858,-0.078688025,-0.23229611,0.031836867,True
9,-4.7054453,5.374895,10.08034,0.34555697,0.22155116,0.4563486,True
